file,dial,category
Ses03M_script02_2_M045, Shh.  If we're very quiet the fish might come.,0
Ses05M_impro07_M018," I just want to be really close to things, you know.  I know it's not exactly the best neighborhood in the entire world. But uh-",0
Ses04F_impro07_F053," Right, there's always that option. The doughnut thing.",0
Ses03M_script03_1_F003, Now and always sweet.,0
Ses01F_script03_1_F015, Shall we always want to bicker and fight?,0
Ses03M_script01_3_M011, I don't...I have no imagination that's the only way I know how to tell it.,0
Ses01M_impro07_M018, I just got into it. I just kind of fell into it. Literally I was walking around and...,0
Ses03M_script01_3_F010," Well what other reason, from her point of view, would I be coming here?",0
Ses03F_impro07_M011, Good for you.,0
Ses03F_script03_1_M030, We were very much younger then.,0
Ses03M_script03_1_M036, I will never forget his face. Ooh-rah [LAUGHTER].,0
Ses01M_script01_3_M019, I kissed you.,0
Ses03F_script03_1_F006," [LAUGHTER] God, it sent shivers up my spine.",0
Ses05F_script03_1_M011," What does it all mean?  That's what I asked myself in my ceaseless quest for ultimate truth.  Dear God, what does it all mean?",0
Ses04M_script01_3_F012, Every day since.,0
Ses05M_script02_2_M017," Okay.  All right No problem.  I totally understand. okey  um, listen.  Do you want to dance?",0
Ses02F_script01_3_F012, I almost got married two years ago.,0
Ses02F_script02_2_F043, No.  I think you might be right.  Maybe this is the spot after all.,0
Ses02F_script02_2_M041," I don't know.  It seemed like a pretty good spot to me.  I mean, look at the view you have of the moon from here.",0
Ses04F_script03_1_F028, Then the manager came in and found us rolling about on the floor biting and scratching like panthers.,0
Ses02M_impro07_F027," Okay. Yes, totally come visit",0
Ses05F_script03_1_M020," no, So is everyone else in the long run.  Let's be superficial and pity the poor philosophers.  Let's blow trumpets and squeakers and --",0
Ses02M_impro07_F018," [LAUGHTER] like a- like a- [LAUGHTER] No, but I mean like everywhere you go people know who you are.",0
Ses03F_script01_3_F013," Well, I guess that's why I came.",0
Ses04F_impro07_F054, Right,0
Ses04M_impro07_M010," Um, you know, I don't think so.  But I think that, you know, it's still a private school",0
Ses03F_script01_3_F022," Not like that, you're not.",0
Ses04F_impro07_M008," No, seriously. No, seriously, you should do it.",0
Ses03M_impro03_F000, Hey.,0
Ses01M_impro07_M009, Where should I move?,0
Ses05F_impro03_F041, [BREATHING],0
Ses04F_impro07_M025, and I like living in LA.,0
Ses04M_impro03_F016, Big and shiny.  You're such a guy. [LAUGHTER],0
Ses05F_impro03_F051," Two artists, though.  We're bound to be poor forever.",0
Ses02M_impro03_F025, Did you have a good ring? You better have had a good ring.,0
Ses05F_impro07_M032," Well, congratulations. and to me too, because now I get to-have-",0
Ses05F_impro07_F006, Uh- I don't know.,0
Ses03M_impro03_M005, Get the big pizza--and I put it in the pizza and she ate so [GARBAGE],0
Ses04F_impro07_F079, me.,0
Ses02M_script03_1_M024, You remember that awful scene we had in Venice?,0
Ses05F_impro08_M025," That would be wonderful, that would be great seriously.",0
